L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,0.0,1.0,100.0,0.0,0.0,0.40525405929677566,0.3094850098213456,0.9447155553944375,true,30,-1.6212674825229372,0.2,0.2,1.74268991,0.0,0
256,0.0,0.4,1.0,100.0,0.0,0.0,0.4052496932618992,0.3094850098213456,0.9446307746843186,true,30,-1.5555758186435262,0.2,0.2,0.876798383,0.0,0
256,0.0,0.8,1.0,100.0,0.0,0.0,0.40524393549204907,0.3094850098213456,0.9444984094593156,true,30,-1.4898857852620657,0.2,0.2,0.901659376,0.0,0
256,0.0,1.2,1.0,100.0,0.0,0.0,0.4052361803991563,0.3094850098213456,0.9442890820587913,true,30,-1.4241979261729256,0.2,0.2,0.899977055,0.0,0
256,0.0,1.6,1.0,100.0,0.0,0.0,0.40522546629436557,0.3094850098213456,0.9439508950838116,true,30,-1.3585130349858694,0.2,0.2,0.892230613,0.0,0
256,0.0,2.0,1.0,100.0,0.0,0.0,0.4052101856635011,0.3094850098213456,0.9433865679138176,true,30,-1.2928323130064234,0.2,0.2,0.910385671,0.0,0
256,0.0,2.4,1.0,100.0,0.0,0.0,0.4051874668737676,0.3094850098213456,0.942399171188324,true,30,-1.2271576677561438,0.2,0.2,0.908158779,0.0,0
256,0.0,2.8,1.0,100.0,0.0,0.0,0.4051517149290952,0.3094850098213456,0.940548388890794,true,30,-1.1614923290843864,0.2,0.2,0.902322541,0.0,0
256,0.0,3.2,1.0,100.0,0.0,0.0,0.40509069657556207,0.3094850098213456,0.9367126375934287,true,30,-1.095842271216453,0.2,0.2,0.913414075,0.0,0
256,0.0,3.6,1.0,100.0,0.0,0.0,0.4049730278656961,0.3094850098213456,0.9274729169876927,true,30,-1.030220024042082,0.2,0.2,0.90315715,0.0,0
256,0.0,4.0,1.0,100.0,0.0,0.0,0.40469623277305744,0.3094850098213456,0.8991931669808384,true,30,-0.9646573664958156,0.2,0.2,0.898712424,0.0,0
256,0.4,0.0,1.0,100.0,0.0,0.0006209947900121071,0.40525401059612387,0.9411393281723825,0.01400939897944209,true,49,-1.6212674160285903,0.2,0.2,1.476595641,0.0,0
256,0.4,0.4,1.0,100.0,0.0,0.0007141286403326877,0.405249621504352,0.93434398432792,0.007363293429984985,true,52,-1.5555757379767436,0.2,0.2,1.55976912,0.0,0
256,0.4,0.8,1.0,100.0,0.0,0.0009116164477785591,0.40524380977982905,0.9991801651322071,0.004035007646785438,true,55,-1.4898856675962422,0.2,0.2,1.664883868,0.0,0
256,0.4,1.2,1.0,100.0,0.0,0.0010953732319026069,0.4052359852591346,0.9618737761638526,0.0014082846762075718,true,61,-1.424197779771607,0.2,0.2,1.839321719,0.0,0
256,0.4,1.6,1.0,100.0,0.0,0.0015021149272464447,0.40522509076917806,0.9827188956506435,0.0007440754880017053,true,69,-1.358512812614091,0.2,0.2,2.091139261,0.0,0
256,0.4,2.0,1.0,100.0,0.0,0.002279498342510907,0.40520932652952457,0.9660212910656187,0.0007941209324568987,true,84,-1.2928319500073742,0.2,0.2,2.546506701,0.0,0
256,0.4,2.4,1.0,100.0,0.0,0.005258077105423883,0.40518312100763165,0.9877883767628222,0.0017093510049637217,true,113,-1.2271567275054562,0.2,0.2,3.434888307,0.0,0
