L,U,V,t,β,δ,m,uS,ud,vd,Qm,QuS,Qud,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.0,0.4052305930846235,-3.8163916471489756e-17,0.0,0.1953125,0.5961535021183906,0.19531250000000008,0.1953125,true,11,-1.6212287122694493,0.5,0.5,0.554267645,0.0
128,0.0,0.1,1.0,100.0,0.0,0.0,0.405229919854451,-3.265969144201214e-6,-6.146164993325056e-7,0.1953125,0.5963245544580165,0.05742609139262051,0.0049223695822919735,true,11,-1.6048075558985109,0.5,0.5,0.163058719,0.0
128,0.0,0.2,1.0,100.0,0.0,0.0,0.40522919752629083,-1.434467689038349e-6,-1.6313897891318673e-9,0.1953125,0.5967204008403559,0.013920112734381904,8.101654164542186e-6,true,11,-1.5883864560919554,0.5,0.5,0.16216617,0.0
128,0.0,0.3,1.0,100.0,0.0,0.0,0.4052284213242836,-3.509442329970025e-7,-1.0606630094523304e-19,0.1953125,0.5972519711008317,0.0024833712048152007,4.191344072669956e-16,true,11,-1.571965417027713,0.5,0.5,0.120735288,0.0
128,0.0,0.4,1.0,100.0,0.0,0.0,0.40522758589566976,-4.74837897161684e-8,3.865015388340463e-9,0.1953125,0.5978797089153387,0.0002735684023523824,1.331192320151608e-5,true,11,-1.5555444432924268,0.5,0.5,0.143265738,0.0
128,0.0,0.5,1.0,100.0,0.0,0.0,0.40522668522317573,-2.6200279029664486e-9,1.5584087896308862e-6,0.1953125,0.5985841882105714,1.302533797752645e-5,0.00489280357148617,true,11,-1.539123539936887,0.5,0.5,0.540651461,0.0
128,0.0,0.6,1.0,100.0,0.0,0.0,0.4052257124638413,-2.221589578965677e-11,3.606508361642802e-5,0.1953125,0.5993544975015919,9.873039853117854e-8,0.1059025659653318,true,11,-1.5227027149653165,0.5,0.5,0.396315864,0.0
128,0.0,0.7,1.0,100.0,0.0,0.0,0.4052246600278201,-1.734723475976807e-17,-5.041988813618257e-5,0.1953125,0.6001829840456274,1.0949086689387988e-13,0.14073145035520374,true,11,-1.506281973476693,0.5,0.5,0.213085389,0.0
128,0.0,0.8,1.0,100.0,0.0,0.0,0.40522350581415434,-2.7755575615628914e-17,0.0003614508521330703,3.2311742677852644e-25,2.0244709242334125e-6,6.276186332347561e-14,0.9694513652418896,true,90,-1.4898617217476189,0.5,0.5,1.089692854,0.0
128,0.0,0.9,1.0,100.0,0.0,0.0,0.40515096771712794,1.0408340855860843e-17,NaN,3.155443620884047e-28,1.1102230246251565e-13,1.0189443268490145e-14,92.4838567781421,false,100,NaN,0.5,0.5,2.426440566,0.0
128,0.0,1.0,1.0,100.0,0.0,0.0,0.405035487530503,0.0,NaN,3.155443620884047e-28,0.0,9.251858538532752e-15,137.0450338267512,false,100,NaN,0.5,0.5,1.486016003,0.0
128,0.0,1.1,1.0,100.0,0.0,0.0,0.40487965470193543,0.0,NaN,3.155443620884047e-28,0.0,3.965082230803939e-15,172.5031431009718,false,100,NaN,0.5,0.5,2.40772425,0.0
128,0.0,1.2,1.0,100.0,0.0,0.0,0.4046731082145526,0.0,NaN,3.155443620884047e-28,0.0,2.804139621467618e-29,205.0387521237307,false,100,NaN,0.5,0.5,1.313132153,0.0
128,0.0,1.3,1.0,100.0,0.0,0.0,0.4044054487255795,-6.938893903907228e-18,NaN,3.155443620884047e-28,0.0,1.8488927466117464e-29,236.56707645792847,false,100,NaN,0.5,0.5,1.176125655,0.0
128,0.0,1.4,1.0,100.0,0.0,0.0,0.40406697201343245,0.0,NaN,3.155443620884047e-28,0.0,1.1895246692412396e-14,267.70422348727374,false,100,NaN,0.5,0.5,2.039341317,0.0
128,0.0,1.5,1.0,100.0,0.0,0.0,0.4036488976381464,-3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,4.96119553674152e-28,298.57581700181066,false,100,NaN,0.5,0.5,1.215999673,0.0
