L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ
256,1.2,8.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.604924421,0.0
256,1.6,4.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.196877989,0.0
256,1.6,4.4,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.85279082,0.0
256,1.6,4.8,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.400659306,0.0
256,1.6,5.2,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.929473533,0.0
256,1.6,5.6,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.462008323,0.0
256,1.6,6.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.863142368,0.0
256,1.6,6.4,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.348608144,0.0
256,1.6,6.8,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.857132887,0.0
256,1.6,7.2,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.448457015,0.0
256,1.6,7.6,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.806297795,0.0
256,1.6,8.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.27941651,0.0
256,2.0,4.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.824863305,0.0
256,2.0,4.4,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.386702748,0.0
256,2.0,4.8,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.795724734,0.0
256,2.0,5.2,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.28873196,0.0
256,2.0,5.6,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.777194596,0.0
256,2.0,6.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.340839484,0.0
256,2.0,6.4,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.909110861,0.0
256,2.0,6.8,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.391400792,0.0
256,2.0,7.2,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.934648757,0.0
256,2.0,7.6,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.440608739,0.0
256,2.0,8.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.866926204,0.0
256,2.4,4.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.355431926,0.0
256,2.4,4.4,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.828571069,0.0
256,2.4,4.8,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.438913399,0.0
256,2.4,5.2,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.786851497,0.0
256,2.4,5.6,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.298240596,0.0
256,2.4,6.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.8163127,0.0
256,2.4,6.4,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.364142949,0.0
256,2.4,6.8,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.736415788,0.0
256,2.4,7.2,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.270336056,0.0
256,2.4,7.6,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.784440857,0.0
256,2.4,8.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.407297798,0.0
256,2.8,4.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.907461331,0.0
256,2.8,4.4,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.406969126,0.0
256,2.8,4.8,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.946232022,0.0
256,2.8,5.2,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.468044735,0.0
256,2.8,5.6,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.845279019,0.0
256,2.8,6.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.357008696,0.0
256,2.8,6.4,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.844939308,0.0
256,2.8,6.8,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.440355475,0.0
256,2.8,7.2,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.823449139,0.0
256,2.8,7.6,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.313662301,0.0
256,2.8,8.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.827591591,0.0
256,3.2,4.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.398428313,0.0
256,3.2,4.4,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.775546907,0.0
256,3.2,4.8,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,53.266261504,0.0
256,3.2,5.2,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.782726996,0.0
256,3.2,5.6,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.399604229,0.0
256,3.2,6.0,1.0,100.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.0,0.0,false,400,NaN,0.1,0.2,52.866111509,0.0
