IuS,CuS,MuS
0.1,0.35931851969569784,0.1259318519695698
0.1259318519695698,0.35930492882834253,0.14926915965544707
0.14926915965544707,0.35928195261635987,0.17027043895153834
0.17027043895153834,0.3592406793123442,0.18916746298761894
0.18916746298761894,0.35916014209839475,0.20616673089869653
0.20616673089869653,0.3589804726354004,0.22144810507236692
0.22144810507236692,0.3584700201743548,0.23515029658256573
0.23515029658256573,0.35600357027468915,0.24723562395177806
0.24723562395177806,0.28296619583967314,0.25080868114056754
0.25080868114056754,-0.12680067994456656,0.21304774503205415
0.21304774503205415,0.35882783146111175,0.2276257536749599
0.2276257536749599,0.3579066338132502,0.24065384168878895
0.24065384168878895,0.35064253381047594,0.25165271090095764
0.25165271090095764,-0.2186676471132738,0.20462067509953452
0.20462067509953452,0.35900554553557,0.2200591621431381
0.2200591621431381,0.3585507074967936,0.23390831667850365
0.23390831667850365,0.3565149591816592,0.24616898092881923
0.24616898092881923,0.31293488071157555,0.25284557090709486
0.25284557090709486,-0.28602933153640153,0.19895808066274523
0.19895808066274523,0.3590786720468456,0.21497013980115526
0.21497013980115526,0.35876822193126545,0.22934994801416628
0.22934994801416628,0.35765033276413793,0.24217998648916345
0.24217998648916345,0.3468658654076022,0.25264857438100735
0.25264857438100735,-0.2783022500853819,0.19955349193436844
0.19955349193436844,0.3590721277376143,0.21550535551469305
0.21550535551469305,0.35874981398616335,0.22982980136184009
0.22982980136184009,0.35756673959486746,0.24260349518514285
0.24260349518514285,0.34540543234941057,0.25288368890156965
0.25288368890156965,-0.2874119018254342,0.19885412982886927
0.19885412982886927,0.3590797911207638,0.21487669595805872
0.21487669595805872,0.35877134918123577,0.22926616128037644
0.22926616128037644,0.3576643215653177,0.24210597730887057
0.24210597730887057,0.3470985653050272,0.25260523610848623
0.25260523610848623,-0.2764619784093173,0.19969851465670588
0.19969851465670588,0.35907049830449267,0.21563571302148454
0.21563571302148454,0.35874519879372013,0.2299466615987081
0.2299466615987081,0.3575454430258568,0.24270653974142298
0.24270653974142298,0.3450136182882942,0.2529372475961101
0.2529372475961101,-0.2892972009055126,0.19871380274594783
0.19871380274594783,0.3590812909730494,0.214750551568658
0.214750551568658,0.35877553114238564,0.22915304952603077
0.22915304952603077,0.35768293269830015,0.24200603784325772
0.24200603784325772,0.3474031162882929,0.2525457456877612
0.2525457456877612,-0.2738470186019655,0.19990646925878858
0.19990646925878858,0.3590681369369248,0.2158226360266022
0.2158226360266022,0.3587384878616229,0.23011422121010427
0.23011422121010427,0.3575142312812063,0.24285422221721448
0.24285422221721448,0.344424368320354,0.2530112368275284
0.2530112368275284,-0.291795995439071,0.19853051360086849
0.19853051360086849,0.3590832314876975,0.21458578538955142
0.21458578538955142,0.3587809258625753,0.22900529943685383
0.22900529943685383,0.35770678014250945,0.2418754475074194
0.2418754475074194,0.34778506691197897,0.25246640944787535
0.25246640944787535,-0.2701923325576401,0.20020053524732379
0.20020053524732379,0.359064746908516,0.216086956413443
0.216086956413443,0.3587288066492333,0.23035114143702204
0.23035114143702204,0.35746869093753886,0.2430628963870737
0.2430628963870737,0.3435317391659921,0.25310978066496553
0.25310978066496553,-0.2949441761404373,0.19830438498442526
0.19830438498442526,0.3590855970435278,0.21438250619033553
0.21438250619033553,0.3587874779569694,0.22882300336699893
0.22882300336699893,0.3577355013777228,0.24171425316807132
0.24171425316807132,0.34823295106507063,0.2523661229577713
0.2523661229577713,-0.26528198556251836,0.20060131210574234
0.20060131210574234,0.35906002843528473,0.2164471837386966
0.2164471837386966,0.3587152395287439,0.23067398931770133
0.23067398931770133,0.3574038387420404,0.24334697426013524
0.24334697426013524,0.34219069076998804,0.2532313459111205
0.2532313459111205,-0.29856480654868467,0.19805173066513998
0.19805173066513998,0.35908820347190284,0.21415537794581627
0.21415537794581627,0.358794666393389,0.22861930679057352
0.22861930679057352,0.3577667081585745,0.24153404692737362
0.24153404692737362,0.3487049025100947,0.25225113248564573
0.25225113248564573,-0.2592222599401495,0.2011037932430662
0.2011037932430662,0.3590539471367097,0.21689880863243055
0.21689880863243055,0.35869759520111866,0.23107868728929937
0.23107868728929937,0.35731766860974046,0.2437025854213435
0.2437025854213435,0.3402749983790291,0.25335982671711205
0.25335982671711205,-0.3021019076954507,0.1978136532758558
0.1978136532758558,0.35909062480516396,0.21394135042878662
0.21394135042878662,0.35880131542628413,0.2284273469285364
0.2284273469285364,0.35779529216866535,0.24136414145254928
0.24136414145254928,0.34912407209067875,0.25214013451636225
0.25214013451636225,-0.252901907770502,0.20163593028767585
0.20163593028767585,0.3590472982509312,0.2173770670840014
0.2173770670840014,0.3586780988495023,0.23150717026055148
0.23150717026055148,0.35722000707589874,0.24407845394208622
0.24407845394208622,0.33790671298743813,0.2534612798466214
0.2534612798466214,-0.30470230947472654,0.19764492091448665
0.19764492091448665,0.35909232081981135,0.21378966090501914
0.21378966090501914,0.35880595615117866,0.22829129042963509
0.22829129042963509,0.35781508345945845,0.24124366973261743
0.24124366973261743,0.349407106149242,0.2520600133742799
0.2520600133742799,-0.24803049549436984,0.20205096248741494
0.20205096248741494,0.3590419575024796,0.21775006198892144
0.21775006198892144,0.3586622824435064,0.23184128403437995
0.23184128403437995,0.3571388573974144,0.24437104137068338
0.24437104137068338,0.3357680790507527,0.2535107451386903
0.2535107451386903,-0.3059126648450323,0.19756840414031807
