L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ,Layer
128,12.0,5.4,1.0,100.0,0.06,0.208229629460446,-0.017228169288070055,0.2350122561852615,0.33692620165567644,-0.004448606753345871,0.3552209798496353,0.058794233243106286,0.9870770822639208,0.11771031326501813,0.008758591531899187,true,153,-1.9676779743755164,0.05,0.05,74.371611902,0.28812736044402176,3
128,12.0,5.5,1.0,100.0,0.06,0.2045874933547141,-0.01726719033108573,0.23822230332970717,0.3364126578268987,-0.004461450832719583,0.35601330775864026,0.05770402399653263,0.9814365842110151,0.0862139420931829,0.008715018863682603,true,151,-1.9951194003805954,0.05,0.05,72.085454261,0.2897543811337367,3
128,12.0,5.6,1.0,100.0,0.06,0.2010721184758147,-0.017290566585017653,0.24123090779661177,0.33591881796914824,-0.0044706653344182504,0.3580491792551377,0.056923880175210884,0.9792778836742455,0.05149999164766328,0.00881491646252848,true,149,-2.02271493877688,0.05,0.05,71.437502845,0.29141636086355094,3
128,12.0,5.7,1.0,100.0,0.06,0.19767688017880658,-0.017300128512901497,0.24405628514982547,0.33544354713568114,-0.0044768401331791545,0.3614240658385004,0.056457286562935916,0.9808461713758931,0.013433819073038755,0.009072487216243638,true,147,-2.0504572445344853,0.05,0.05,70.588665166,0.2931117076749741,3
128,12.0,5.8,1.0,100.0,0.06,0.19439560954258425,-0.01729748454826638,0.24671454672129678,0.3349857433006771,-0.004480553292744308,0.3662457381806705,0.05631446167965459,0.9864724518287016,0.028108343648192147,0.009511033368927654,true,145,-2.078339752563615,0.05,0.05,69.877393426,0.2948390979327843,3
128,12.0,5.9,1.0,100.0,0.06,0.19122255019632492,-0.01728406246379223,0.2492200526663516,0.33454431023172493,-0.004482374121573891,0.37262104176882804,0.05650917153847412,0.9965084698626558,0.07329381026943693,0.01015531550936817,true,143,-2.106356935705341,0.05,0.05,69.29196821,0.29659780982505074,3
128,12.0,6.0,1.0,100.0,0.06,0.18815008545292794,-0.017261573775165406,0.25159435177804723,0.3341126222435927,-0.004482891388737788,0.3661008329983728,0.05507654953129659,0.9781181094894453,0.1051616079827955,0.010600940856175453,true,142,-2.1345367949571177,0.05,0.05,68.43107212,0.29839893815001306,3
128,12.0,6.1,1.0,100.0,0.06,0.18517780085922547,-0.01723025104190984,0.25383117183059,0.3337008712705781,-0.004482387019171813,0.37512999418054527,0.055885994082585655,0.996145464963516,0.15609287321172172,0.011627339024771963,true,140,-2.162810913491062,0.05,0.05,66.915147805,0.300222279276256,3
128,12.0,6.2,1.0,100.0,0.06,0.18229659205251236,-0.01719194014426141,0.2559579765071481,0.333297078748926,-0.004481288253585196,0.37046521549716216,0.05493692834747377,0.983496727563482,0.1909089552109,0.012347258563322888,true,139,-2.1912408229030538,0.05,0.05,66.666923095,0.3020908222923283,3
128,12.0,6.3,1.0,100.0,0.06,0.17950426512631604,-0.017147053121924258,0.25797536163405865,0.3329058797588878,-0.004479791083570817,0.36660588474912714,0.05417806857751367,0.9731550990917937,0.22692041060834445,0.01316960978209672,true,138,-2.2197899551392624,0.05,0.05,66.564244395,0.30399242491058426,3
128,12.0,6.4,1.0,100.0,0.06,0.17679659234857104,-0.017096326293766145,0.25989191930699485,0.33252629147524193,-0.004478350299008765,0.3635901649672313,0.05360010040599689,0.965315181456261,0.2639591761190996,0.014152916610988414,true,137,-2.248454162010393,0.05,0.05,66.474734816,0.30592417994259324,3
128,12.0,6.5,1.0,100.0,0.06,0.17417107171807067,-0.017040140703605614,0.2617095013414728,0.332161459345727,-0.004477630606098737,0.3770421445739025,0.05533873323607108,0.9966175889372098,0.3274859308978195,0.01594644520142366,true,135,-2.2772006490130967,0.05,0.05,65.895408604,0.30786756691456124,3
128,12.0,6.6,1.0,100.0,0.06,0.171620496571734,-0.016979832724693777,0.26344970549592345,0.33180056421557214,-0.004478720271933781,0.37586593740207563,0.055151081926517465,0.9945740015814275,0.3681992639218423,0.017439655201460097,true,134,-2.306092939117809,0.05,0.05,64.394461111,0.30985166127696706,3
128,12.0,6.7,1.0,100.0,0.06,0.1691431938820862,-0.01691573020161065,0.265112154495975,0.3314473208153714,-0.00448188836908963,0.3754547689750476,0.05514013261585793,0.9949240269272464,0.4102095023323926,0.018951336219503317,true,133,-2.335100944035624,0.05,0.05,63.785430192,0.3118655249412671,3
128,12.0,6.8,1.0,100.0,0.06,0.1667362717066495,-0.01684838517443521,0.26670161175741924,0.3311016361916613,-0.004486583984913367,0.37567661587217804,0.05526126119523994,0.99711784090184,0.45396035227696085,0.02018407083907367,true,132,-2.3642226687736834,0.05,0.05,63.381996388,0.31391463118113594,3
128,12.0,6.9,1.0,100.0,0.06,0.16439588359404916,-0.01677839596125935,0.26822675668326323,0.33076031531368194,-0.004491963317436421,0.36009104405665404,0.05316756406698736,0.9612538276043692,0.4672527261435633,0.020299945209682757,true,132,-2.393480752577995,0.05,0.05,63.827927653,0.3160194776196416,3
128,12.0,7.0,1.0,100.0,0.06,0.16212174137911944,-0.016705450806374963,0.2696806126776056,0.3304311919123446,-0.00449725100161397,0.3612978310981174,0.05336509500033365,0.9657504318512089,0.5130821126708707,0.02089030455245007,true,131,-2.4228055353316664,0.05,0.05,63.445479851,0.3181362566964347,3
128,12.0,7.1,1.0,100.0,0.06,0.15990946320974037,-0.016629909575012786,0.2710734845287728,0.3301095789720213,-0.0045029428296227345,0.3632146683515969,0.053607830957154434,0.9721828721357406,0.5607299163694623,0.021378447373281498,true,130,-2.45221930454313,0.05,0.05,63.307651334,0.3202698286985715,3
128,12.0,7.2,1.0,100.0,0.06,0.15775612654280008,-0.0165518615435577,0.2724097772330477,0.3297947792802728,-0.004509311014393343,0.3658116559287494,0.05390862609519487,0.9805081104560243,0.6103373454103833,0.021648942664580922,true,129,-2.4817142518033406,0.05,0.05,61.413109645,0.3224067045358566,3
128,12.0,7.3,1.0,100.0,0.06,0.1556594411041307,-0.016471433115798587,0.273691928940318,0.3294872948335203,-0.004515644482686673,0.36895992472363304,0.054282192348008296,0.9903578626409004,0.662271344765486,0.021503219182986838,true,128,-2.511279700540843,0.05,0.05,61.293122426,0.3245394589501092,3
