Im,IuS,Cm,CuS,Mm,MuS
0.5,0.2,0.4500332734801993,0.21127532260759735,0.4875083183700498,0.20281883065189937
0.4875083183700498,0.20281883065189937,0.4497457321295698,0.21181340314151897,0.4780676718099298,0.20506747377430426
0.4780676718099298,0.20506747377430426,0.4495861512524403,0.21211111870715482,0.4709472916705575,0.2068283850075169
0.4709472916705575,0.2068283850075169,0.44949928250845894,0.21227290997025472,0.46558528938003285,0.20818951624820137
0.46558528938003285,0.20818951624820137,0.4494527291572039,0.2123595359716775,0.46155214932432564,0.20923202117907042
0.46155214932432564,0.20923202117907042,0.4494280892485763,0.21240536347774153,0.4585211343053883,0.2100253567537382
0.4585211343053883,0.2100253567537382,0.4494151741331396,0.21242937803540846,0.45624464426232614,0.21062636207415575
0.45624464426232614,0.21062636207415575,0.44940845548936825,0.21244186911524,0.4545355970690867,0.2110802388344268
0.4545355970690867,0.2110802388344268,0.44940498053961586,0.2124483291793013,0.45325294293671897,0.2114222614206454
0.45325294293671897,0.2114222614206454,0.44940319119273,0.2124516555244263,0.45229050500072177,0.21167960994659063
0.45229050500072177,0.21167960994659063,0.4494022729001691,0.21245336257286335,0.4515684469755836,0.21187304810315882
0.4515684469755836,0.21187304810315882,0.4494018028302086,0.21245423639527933,0.45102678593923984,0.21201834517618895
0.45102678593923984,0.21201834517618895,0.4494015626654382,0.2124546828402028,0.4506204801207894,0.21212742959219238
0.4506204801207894,0.21212742959219238,0.4494014401398164,0.21245491060386262,0.4503157201255462,0.21220929984510994
0.4503157201255462,0.21220929984510994,0.4494013776986715,0.2124550266759594,NaN,NaN
