L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ
128,7.0,1.0,1.0,100.0,0.2,0.3589011243278041,-1.382430420138192e-9,4.831620729200958e-8,0.040002105186388956,-2.438280627750644e-9,0.02452316223311435,8.012585570975385e-6,0.0002641203803143375,0.9912083759153756,1.3263241534348854e-5,true,68,-1.9195447149037101,0.25,0.5,29.013287481,0.8730158497679218
128,7.0,1.1,1.0,100.0,0.2,0.358225434194695,-1.2737014803976265e-8,3.082037806946547e-7,0.060610918303499364,-1.6112653516975328e-8,0.04165484066631642,6.235181492374476e-5,0.0014599111433654809,0.9864488511635988,7.606542037975157e-5,true,62,-1.8980872771267128,0.25,0.5,26.42810302,0.8603995033242174
128,7.0,1.2,1.0,100.0,0.2,0.3570712355677985,-9.30120855890948e-8,1.7488420911604581e-6,0.08270236162970715,-9.477198781825125e-8,0.06211854254478677,0.0003929165714489719,0.007234005501590065,0.9687658169384994,0.00039112767581187566,true,56,-1.879950514108987,0.25,0.5,24.054599154,0.8520645385776862
128,7.0,1.3,1.0,100.0,0.2,0.3554061633670318,-5.615975854633692e-7,8.854668022082075e-6,0.10467906090362764,-4.992372502204967e-7,0.08787900267726023,0.002069972914812803,0.032169176905902305,0.9768601633318164,0.00181104715606143,true,50,-1.865452947790664,0.25,0.5,21.11946019,0.8482637356212497
128,7.0,1.4,1.0,100.0,0.2,0.3532724815880728,-2.4252637817190337e-6,3.3942434762164984e-5,0.12547065431949067,-1.9997924522001387e-6,0.11557806155204631,0.007843407860020257,0.10870357473968652,0.9697125244587657,0.006398746516936807,true,45,-1.8538527865164007,0.25,0.5,18.999218365,0.8477702767363521
128,7.0,1.5,1.0,100.0,0.2,0.35073192951923315,-7.819873373254849e-6,0.00010120634017693215,0.14470673504427575,-6.24583461740838e-6,0.14081391645126562,0.02227342442105356,0.28640802838504986,0.9267367542204474,0.017665920262709287,true,41,-1.844088721154268,0.25,0.5,17.095714863,0.8489461214392805
128,7.0,1.6,1.0,100.0,0.2,0.3478690701116061,-2.280196041976046e-5,0.0002798751593062355,0.1622116256899594,-1.8087079148701446e-5,0.17719595158816048,0.05740398814427507,0.7011001859080251,0.9280392514068314,0.04529190432778901,true,37,-1.8360199654329352,0.25,0.5,15.327260484,0.8515116584359063
128,7.0,1.7,1.0,100.0,0.2,0.34482053122752576,-3.460362926108185e-5,0.00040900757757336356,0.17771059180650156,-2.7641405085192944e-5,0.1353070375451626,0.07691716288505515,0.9070219855703406,0.5849445086437699,0.06128847680840084,true,37,-1.8296118268935921,0.25,0.5,15.411222772,0.8553857790043782
128,7.0,1.8,1.0,100.0,0.2,0.34156871169466796,-3.957931506712309e-5,0.0004568615765225782,0.19176810227898658,-3.22180479876491e-5,0.07356707325179013,0.07773910453368027,0.8967118866251649,0.26771368569467047,0.06323173259568633,true,39,-1.82426943329568,0.25,0.5,16.270827899,0.8597121543106746
128,7.0,1.9,1.0,100.0,0.2,0.33813871845484156,-4.6236877376371055e-5,0.0005263405717620458,0.20459367189955963,-3.8663272139624616e-5,0.035939273290486184,0.08026169221803363,0.9134554127713944,0.10692734009976057,0.06709949195516604,true,41,-1.8197841855528991,0.25,0.5,17.191042015,0.8641925763210782
128,7.0,2.0,1.0,100.0,0.2,0.3346025790567986,-5.5548554795975535e-5,0.000626074730353943,0.21617993494262733,-4.7891596729909836e-5,0.01596865860886698,0.08502515311048232,0.9582714117581425,0.0341371843287086,0.0733021989253641,true,43,-1.8164615091639913,0.25,0.5,17.888676362,0.8692815231883144
128,7.0,2.1,1.0,100.0,0.2,0.3309617745971416,-6.16802357913393e-5,0.0006915840407273974,0.2267467639764127,-5.508067313747533e-5,0.005029665273825756,0.08294446806234973,0.9300784670949344,0.0023991386486343913,0.07407069910956816,true,46,-1.8138078204243309,0.25,0.5,19.219801161,0.8742995547541258
128,7.0,2.2,1.0,100.0,0.2,0.3272422805437367,-7.11162182579772e-5,0.0007975918571662332,0.23640463307284906,-6.56806351362893e-5,0.0011173811231834918,0.08387146896368687,0.9407054460938433,0.007409039567807252,0.07746246758695313,true,49,-1.8117452304588608,0.25,0.5,20.355675146,0.879158347305653
128,7.0,2.3,1.0,100.0,0.2,0.32348290739172414,-8.522446633763003e-5,0.0009596038482383856,0.24520387648869385,-8.120577489723751e-5,0.00034744821397758585,0.08788001830024264,0.9894943773114694,0.009604507851257438,0.08373937185765018,true,52,-1.8104894328280956,0.25,0.5,21.904628866,0.8841977081848491
128,7.0,2.4,1.0,100.0,0.2,0.3196740311610482,-9.827101821353879e-5,0.001114247513943195,0.25329562562300506,-9.677122315406017e-5,0.0008130307922460389,0.08801553372285995,0.9979054923683187,0.008494905882394654,0.08667734396080283,true,56,-1.8097117528079067,0.25,0.5,23.491245647,0.8889794807737564
128,7.0,2.5,1.0,100.0,0.2,0.3158432020249402,-0.00011338208231659319,0.001292314845164167,0.2607279185283642,-0.00011613420751437759,0.0016561775900703068,0.08693717864542753,0.9909210971049339,0.0068228945701021,0.08904749107042285,true,61,-1.8095303443331112,0.25,0.5,25.772110535,0.8937023498462097
128,7.0,2.6,1.0,100.0,0.2,0.31199830180144883,-0.0001333198221852988,0.0015267047954961987,0.26757364341217416,-0.00014238561220147883,0.0023700781152102834,0.08616822703178163,0.9869687406861422,0.00596769809524389,0.09200963762979027,true,67,-1.8099205844322337,0.25,0.5,28.4196188,0.8983640394465537
128,7.0,2.7,1.0,100.0,0.2,0.3081322178847101,-0.00016008853243167087,0.0018488180031045274,0.2739216247640728,-0.0001771787949585088,0.002797534333298657,0.08640290491214789,0.9981427729261506,0.0063793368374476245,0.09559959734705965,true,74,-1.8106882443120749,0.25,0.5,31.368990186,0.9027156277299265
128,7.0,2.8,1.0,100.0,0.2,0.30427633531069054,-0.00018965151523131496,0.0022194002973841935,0.2797850668817622,-0.00021551339643684914,0.0034138623088431075,0.08479964726634245,0.9924180253225177,0.006599151855635199,0.09636888612997711,true,83,-1.8120620031781358,0.25,0.5,35.247481381,0.9071136311008722
