L,U,V,t,β,δ,m,uS,ud,vS,Qm,QuS,Qud,QvS,I,f,g,g0,ΔT,μ
30,1.0,1.0,1.0,100.0,0.1,0.0008442055794037632,-0.39551494264218334,0.0008029918957357852,-5.991415273566903e-5,0.517514194757547,0.9209106529706079,0.5360250896142285,0.08441971365961096,22,-2.338266791555149,0.2,0.2,1.044914086,0.4778032181642686
30,1.0,1.2,1.0,100.0,0.1,0.0007933500670266846,-0.39551525081643224,0.0011864645815301076,-5.8978236266031984e-5,0.5074616898971644,0.9234818817785428,0.6602448723625571,0.07315938615562713,22,-2.441694454602566,0.2,0.2,0.507912737,0.49374676422401936
30,1.0,1.4,1.0,100.0,0.1,0.000747000160122249,-0.39551421382716634,0.0017411297610262428,-5.683981257670502e-5,0.4976945471363076,0.9274857584217644,0.8230051538184266,0.06366291481772848,22,-2.545343284023112,0.2,0.2,0.463763026,0.5100599437279854
30,1.0,1.6,1.0,100.0,0.1,0.0005949921194129394,-0.3955132526302213,0.0021562190449589467,-4.057135120163759e-5,0.4125494173233003,0.7466874388708078,0.8806491579754362,0.0417966347657404,23,-2.6491732146874147,0.2,0.2,0.461004661,0.5266733165701886
30,1.0,1.8,1.0,100.0,0.1,0.00047334795832007097,-0.3955111436347063,0.0026755523982259785,-2.8334697619847943e-5,0.3410438589973985,0.6027516428512292,0.9470358335934753,0.027210797269014434,24,-2.7531765860899826,0.2,0.2,0.48679148,0.54357606217743
30,1.0,2.0,1.0,100.0,0.1,0.0003166371336136674,-0.39551036145082774,0.002931733784887338,-1.4445583020300011e-5,0.23682668498519951,0.3918397736053625,0.9172800621981922,0.013068669860398412,26,-2.857078321262785,0.2,0.2,0.511687224,0.5603062733127595
30,1.5,1.0,1.0,100.0,0.1,0.0023614832255343297,-0.3955108062280597,0.0007999300249655139,-5.994067654102655e-5,0.8076995298031918,0.9266729676898455,0.533968545226697,0.08445684533809783,22,-2.338300908425683,0.2,0.2,0.494294136,0.477878952501684
30,1.5,1.2,1.0,100.0,0.1,0.0021895746935028594,-0.395511722167598,0.0011807797408120134,-5.900781156333314e-5,0.7877582684255021,0.9288686258918766,0.6571112634215707,0.07319571180255295,22,-2.4417205740235635,0.2,0.2,0.483845549,0.4938084380388144
30,1.5,1.4,1.0,100.0,0.1,0.0020349708163778114,-0.3955112150821548,0.00172981125395649,-5.6870603286458396e-5,0.7682342756986288,0.9324840887474095,0.8179048914572568,0.06369699406702074,22,-2.545358837162219,0.2,0.2,0.442523847,0.51010311816437
30,1.5,1.6,1.0,100.0,0.1,0.0016430035279900298,-0.3955113441739471,0.002140077107678869,-4.059489451488797e-5,0.6499484031927892,0.750512001087833,0.8746303483013423,0.0418206206382193,23,-2.6491736923111193,0.2,0.2,0.460807377,0.5266864298029098
30,1.5,1.8,1.0,100.0,0.1,0.0013235844730649397,-0.3955099719608147,0.0026548493784246453,-2.8352375308214752e-5,0.5475197652820337,0.6056508641501313,0.9406286631304317,0.02722761352474081,24,-2.753165070061102,0.2,0.2,0.476150479,0.5435655454257698
30,1.5,2.0,1.0,100.0,0.1,0.0009180756874372776,-0.39550988600275927,0.0029077857795793386,-1.4455056756006615e-5,0.3965740806879958,0.3935906386815291,0.9109592883794152,0.0130771856379886,26,-2.8570573452649852,0.2,0.2,0.509045228,0.5602758096738979
30,2.0,1.0,1.0,100.0,0.1,0.004619253384641877,-0.3954978518094906,0.0005677162198545104,-3.525844610081076e-5,0.9555286884935421,0.603720559466403,0.3800263014567588,0.04970936422034528,24,-2.3385447359743945,0.2,0.2,0.531809863,0.47834771586320296
