L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.0,0.4052305930846235,0.1953125,0.5961535021183906,true,11,-1.6212287122694493,0.5,0.5,0.839373127,0.0
128,0.0,0.1,1.0,100.0,0.0,0.0,0.4052299198554523,0.1953125,0.59614300366162,true,11,-1.604807555897257,0.5,0.5,0.083769583,0.0
128,0.0,0.2,1.0,100.0,0.0,0.0,0.40522919752542685,0.1953125,0.596131170404357,true,11,-1.588386456091437,0.5,0.5,0.077222041,0.0
128,0.0,0.3,1.0,100.0,0.0,0.0,0.40522842132091585,0.1953125,0.5961178217955831,true,11,-1.5719654170276618,0.5,0.5,0.076691646,0.0
128,0.0,0.4,1.0,100.0,0.0,0.0,0.40522758588806074,0.1953125,0.596102749513383,true,11,-1.5555444432924257,0.5,0.5,0.077154158,0.0
128,0.0,0.5,1.0,100.0,0.0,0.0,0.40522668520886396,0.1953125,0.5960857126457997,true,11,-1.539123539933542,0.5,0.5,0.080595031,0.0
128,0.0,0.6,1.0,100.0,0.0,0.0,0.40522571250335027,0.1953125,0.5960664319422104,true,11,-1.5227027125180106,0.5,0.5,0.080589125,0.0
128,0.0,0.7,1.0,100.0,0.0,0.0,0.4052246601152055,0.1953125,0.5960445829413796,true,11,-1.5062819671985088,0.5,0.5,0.080762713,0.0
128,0.0,0.8,1.0,100.0,0.0,0.0,0.40522351937776036,0.1953125,0.5960197877328266,true,11,-1.4898613107899572,0.5,0.5,0.08062788,0.0
128,0.0,0.9,1.0,100.0,0.0,0.0,0.4052222804565213,0.1953125,0.5959916050566338,true,11,-1.4734407508579197,0.5,0.5,0.080768735,0.0
128,0.0,1.0,1.0,100.0,0.0,0.0,0.40522093216363353,0.1953125,0.5959595183653299,true,11,-1.4570202958209333,0.5,0.5,0.081521897,0.0
128,0.0,1.1,1.0,100.0,0.0,0.0,0.4052194617386388,0.1953125,0.5959229213946537,true,11,-1.4405999550692643,0.5,0.5,0.080353864,0.0
128,0.0,1.2,1.0,100.0,0.0,0.0,0.4052178545886185,0.1953125,0.5958811006605558,true,11,-1.4241797391031203,0.5,0.5,0.079916538,0.0
128,0.0,1.3,1.0,100.0,0.0,0.0,0.40521609397921,0.1953125,0.5958332141589029,true,11,-1.4077596596939537,0.5,0.5,0.080667978,0.0
128,0.0,1.4,1.0,100.0,0.0,0.0,0.40521416066596117,0.1953125,0.5957782653486232,true,11,-1.3913397300732768,0.5,0.5,0.079513671,0.0
128,0.0,1.5,1.0,100.0,0.0,0.0,0.4052120324529086,0.1953125,0.5957150712544435,true,11,-1.374919965154368,0.5,0.5,0.079686652,0.0
128,0.0,1.6,1.0,100.0,0.0,0.0,0.4052096836619634,0.1953125,0.5956422231884195,true,11,-1.3585003817934385,0.5,0.5,0.080509423,0.0
128,0.0,1.7,1.0,100.0,0.0,0.0,0.40520708449241905,0.1953125,0.5955580381680203,true,11,-1.3420809990983467,0.5,0.5,0.076166163,0.0
128,0.0,1.8,1.0,100.0,0.0,0.0,0.40520420024433457,0.1953125,0.5954604985219936,true,11,-1.3256618387948427,0.5,0.5,0.076900921,0.0
128,0.0,1.9,1.0,100.0,0.0,0.0,0.4052009903722399,0.1953125,0.5953471764026386,true,11,-1.3092429256627542,0.5,0.5,0.076705902,0.0
128,0.0,2.0,1.0,100.0,0.0,0.0,0.40519740732591136,0.1953125,0.5952151388667337,true,11,-1.2928242880576482,0.5,0.5,0.076723998,0.0
128,0.0,2.1,1.0,100.0,0.0,0.0,0.40519339512196517,0.1953125,0.595060827728533,true,11,-1.276405958537512,0.5,0.5,0.080320357,0.0
128,0.0,2.2,1.0,100.0,0.0,0.0,0.40518888757240074,0.1953125,0.5948799063700827,true,11,-1.259987974619314,0.5,0.5,0.079668068,0.0
128,0.0,2.3,1.0,100.0,0.0,0.0,0.4051838060720738,0.1953125,0.5946670628393935,true,11,-1.2435703796972268,0.5,0.5,0.080115702,0.0
128,0.0,2.4,1.0,100.0,0.0,0.0,0.40517805681356767,0.1953125,0.5944157545095807,true,11,-1.2271532241636174,0.5,0.5,0.079636604,0.0
128,0.0,2.5,1.0,100.0,0.0,0.0,0.4051715272508214,0.1953125,0.5941178736892372,true,11,-1.2107365667864745,0.5,0.5,0.079451463,0.0
128,0.0,2.6,1.0,100.0,0.0,0.0,0.4051640815657541,0.1953125,0.5937633049688529,true,11,-1.1943204764140893,0.5,0.5,0.080525725,0.0
128,0.0,2.7,1.0,100.0,0.0,0.0,0.4051555547951131,0.1953125,0.5933393322709035,true,11,-1.1779050341016433,0.5,0.5,0.080751162,0.0
128,0.0,2.8,1.0,100.0,0.0,0.0,0.40514574513246127,0.1953125,0.5928298342341431,true,11,-1.1614903357877957,0.5,0.5,0.080419897,0.0
128,0.0,2.9,1.0,100.0,0.0,0.0,0.40513440370814546,0.1953125,0.592214176895256,true,11,-1.145076495697126,0.5,0.5,0.080267849,0.0
128,0.0,3.0,1.0,100.0,0.0,0.0,0.4051212208288287,0.1953125,0.5914656663746909,true,11,-1.1286636507135208,0.5,0.5,0.085172833,0.0
128,0.0,3.1,1.0,100.0,0.0,0.0,0.40510580716303346,0.1953125,0.5905493509490434,true,11,-1.1122519660716736,0.5,0.5,0.081249716,0.0
128,0.0,3.2,1.0,100.0,0.0,0.0,0.40508766758196735,0.1953125,0.5894188435404679,true,11,-1.0958416428670885,0.5,0.5,0.080147012,0.0
128,0.0,3.3,1.0,100.0,0.0,0.0,0.4050661641211004,0.1953125,0.5880116410572622,true,11,-1.079432928119247,0.5,0.5,0.077208455,0.0
128,0.0,3.4,1.0,100.0,0.0,0.0,0.4050404624954076,0.1953125,0.5862420906681542,true,11,-1.063026128488099,0.5,0.5,0.077194012,0.0
128,0.0,3.5,1.0,100.0,0.0,0.0,0.4050094532034747,0.1953125,0.5839905940616674,true,11,-1.0466216293264285,0.5,0.5,0.078022442,0.0
128,0.0,3.6,1.0,100.0,0.0,0.0,0.40497163243241385,0.1953125,0.5810866611165588,true,11,-1.030219921700335,0.5,0.5,0.07701154,0.0
128,0.0,3.7,1.0,100.0,0.0,0.0,0.40492491771466366,0.1953125,0.5772816654445734,true,11,-1.0138216415980312,0.5,0.5,0.077194896,0.0
128,0.0,3.8,1.0,100.0,0.0,0.0,0.4048663546386134,0.1953125,0.5722039141574653,true,11,-0.9974276282769855,0.5,0.5,0.080166392,0.0
128,0.0,3.9,1.0,100.0,0.0,0.0,0.4047916358291941,0.1953125,0.5652825225308522,true,11,-0.9810390135389696,0.5,0.5,0.080660529,0.0
128,0.0,4.0,1.0,100.0,0.0,0.0,0.4046942848542031,0.1953125,0.5556147660272792,true,11,-0.9646573625999213,0.5,0.5,0.080247482,0.0
128,0.5,0.0,1.0,100.0,0.0,0.0012379093145031767,0.40523042402125686,0.8967438423698746,0.00035243725182709795,true,26,-1.621228508634671,0.5,0.5,0.186912478,0.0
128,0.5,0.1,1.0,100.0,0.0,0.001416530930479029,0.4052296956282426,0.9754576304111854,0.0004315112126507259,true,26,-1.60480729909176,0.5,0.5,0.189484115,0.0
128,0.5,0.2,1.0,100.0,0.0,0.0014265833686352633,0.4052289671300534,0.9305376927965167,0.0004032979628032507,true,27,-1.58838620599717,0.5,0.5,0.193377329,0.0
128,0.5,0.3,1.0,100.0,0.0,0.001459171014201259,0.4052281771010505,0.8982403660637213,0.00039106355109730373,true,28,-1.5719651666441192,0.5,0.5,0.203243685,0.0
128,0.5,0.4,1.0,100.0,0.0,0.0017083794457781905,0.4052272473918459,0.9886857436026395,0.0004997260387717972,true,28,-1.5555441161052197,0.5,0.5,0.204140816,0.0
128,0.5,0.5,1.0,100.0,0.0,0.0017943913972787232,0.40522630711984486,0.9712806501634385,0.0005099566869892769,true,29,-1.5391231973904336,0.5,0.5,0.209880407,0.0
128,0.5,0.6,1.0,100.0,0.0,0.0019174926383460572,0.4052252755296437,0.9654195322982423,0.0005370893465528326,true,30,-1.52270234325694,0.5,0.5,0.218873454,0.0
128,0.5,0.7,1.0,100.0,0.0,0.0020859585734926043,0.4052241369462025,0.9706190397321618,0.0005833611759209489,true,31,-1.5062815571909918,0.5,0.5,0.22293594,0.0
128,0.5,0.8,1.0,100.0,0.0,0.002311473822988636,0.4052228697579979,0.9865136961554679,0.0006530893097433932,true,32,-1.4898608418806938,0.5,0.5,0.230471625,0.0
128,0.5,0.9,1.0,100.0,0.0,0.002398654529130035,0.40522157212039644,0.929848381146698,0.0006348857322091561,true,34,-1.4734402848078254,0.5,0.5,0.244977569,0.0
128,0.5,1.0,1.0,100.0,0.0,0.002782843611498417,0.4052199689891618,0.9697452322299593,0.0007645675335066215,true,35,-1.4570197230380768,0.5,0.5,0.250587886,0.0
128,0.5,1.1,1.0,100.0,0.0,0.0030731697467770297,0.4052182738021587,0.9487502186225731,0.0008220221172638986,true,37,-1.4405993261519219,0.5,0.5,0.266497658,0.0
128,0.5,1.2,1.0,100.0,0.0,0.0035177548354618526,0.4052162812057796,0.9453956433113667,0.0009336910609114568,true,39,-1.4241790103353225,0.5,0.5,0.283285839,0.0
128,0.5,1.3,1.0,100.0,0.0,0.004173750019369983,0.40521385536140053,0.9545266618466753,0.001114881545527524,true,41,-1.4077587737943562,0.5,0.5,0.293894019,0.0
128,0.5,1.4,1.0,100.0,0.0,0.005127666497041338,0.4052107443351472,0.968250155435401,0.001386897410804444,true,43,-1.3913386130660843,0.5,0.5,0.310172625,0.0
128,0.5,1.5,1.0,100.0,0.0,0.0065050370874592724,0.40520646724654513,0.9734160703332474,0.0017699150141048392,true,45,-1.37491853450815,0.5,0.5,0.324508734,0.0
128,0.5,1.6,1.0,100.0,0.0,0.008704444269379476,0.40519957386804334,0.9813903216507532,0.0024024736026140303,true,46,-1.3584984883278053,0.5,0.5,0.331125912,0.0
128,0.5,1.7,1.0,100.0,0.0,0.012117085018594178,0.40518711249786343,0.9816649514563305,0.0034028869086988323,true,45,-1.342078596034972,0.5,0.5,0.322330995,0.0
128,0.5,1.8,1.0,100.0,0.0,0.016950852913525834,0.405164040196039,0.9901606764403381,0.00497338152216642,true,41,-1.3256594045788597,0.5,0.5,0.294443646,0.0
128,0.5,1.9,1.0,100.0,0.0,0.022482817940032387,0.40512786823230085,0.9942527277582436,0.006970523073523971,true,36,-1.3092422426434567,0.5,0.5,0.263713751,0.0
128,0.5,2.0,1.0,100.0,0.0,0.028023389463833363,0.405079377982292,0.9566766643363533,0.008859059626553645,true,32,-1.2928285407321085,0.5,0.5,0.230732825,0.0
128,0.5,2.1,1.0,100.0,0.0,0.03370039025851586,0.405015450502185,0.9381427691926153,0.011140572721668462,true,28,-1.2764193995754707,0.5,0.5,0.201910841,0.0
128,0.5,2.2,1.0,100.0,0.0,0.0394742480187702,0.404933821223011,0.9418866126992276,0.014070728384996123,true,24,-1.260016116127031,0.5,0.5,0.173710355,0.0
128,0.5,2.3,1.0,100.0,0.0,0.04532071700616128,0.40483216849280446,0.9414666392426607,0.018321021721501296,true,20,-1.2436201903941606,0.5,0.5,0.144666903,0.0
128,0.5,2.4,1.0,100.0,0.0,0.05133559440594157,0.404705764585655,0.9503589447062699,0.05785080706166568,true,15,-1.227233380714555,0.5,0.5,0.109457191,0.0
128,0.5,2.5,1.0,100.0,0.0,0.056734706413273675,0.4045709860682729,0.4789260227700126,0.6028609046642153,true,11,-1.21085807630109,0.5,0.5,0.080851372,0.0
128,0.5,2.6,1.0,100.0,0.0,0.06156141324139401,0.4044317404376546,0.764893493483243,0.5681540836854904,true,11,-1.1944963461785754,0.5,0.5,0.080343078,0.0
128,0.5,2.7,1.0,100.0,0.0,0.0686281836967399,0.40419939472843536,0.9397446159042366,0.02283622419263498,true,17,-1.17815207280937,0.5,0.5,0.120906194,0.0
128,0.5,2.8,1.0,100.0,0.0,0.07621089114272117,0.4039056905918096,0.9232797694645467,0.03616930479277691,true,20,-1.1618292997962267,0.5,0.5,0.143226963,0.0
128,0.5,2.9,1.0,100.0,0.0,0.08429103076278338,0.4035381460515647,0.8556631238582635,0.04053576925344693,true,22,-1.1455331616187376,0.5,0.5,0.15782945,0.0
128,0.5,3.0,1.0,100.0,0.0,0.0928363324357781,0.40308379995129084,0.8393513093895022,0.04680307847704235,true,23,-1.1292700746647755,0.5,0.5,0.164842692,0.0
128,0.5,3.1,1.0,100.0,0.0,0.10188171644991531,0.4025243383033126,0.9320231262828216,0.060577204681555585,true,23,-1.1130480609174187,0.5,0.5,0.166526755,0.0
128,0.5,3.2,1.0,100.0,0.0,0.11162075946519415,0.4018256493034432,0.9932640511911561,0.07510000784316517,true,23,-1.096877107920731,0.5,0.5,0.16767892,0.0
128,0.5,3.3,1.0,100.0,0.0,0.12223846949063577,0.4009421685774617,0.8101453439569584,0.07146780710121092,true,24,-1.0807694832176604,0.5,0.5,0.177805176,0.0
128,0.5,3.4,1.0,100.0,0.0,0.1334353839080013,0.39986270563307436,0.7848622233930791,0.08025596474514618,true,24,-1.0647399472534338,0.5,0.5,0.170165063,0.0
128,0.5,3.5,1.0,100.0,0.0,0.14521183095671564,0.39855144341426174,0.9402758774086917,0.11079538516722831,true,23,-1.0488062158215232,0.5,0.5,0.162826518,0.0
128,0.5,3.6,1.0,100.0,0.0,0.15777267200013723,0.39693865584393895,0.8302146779033959,0.11294543900386422,true,23,-1.032988976187189,0.5,0.5,0.162941714,0.0
128,0.5,3.7,1.0,100.0,0.0,0.17075105419784026,0.3950212033061792,0.9282913912179169,0.14468919413068715,true,22,-1.0173115320298969,0.5,0.5,0.159762334,0.0
128,0.5,3.8,1.0,100.0,0.0,0.18423729936742775,0.392735840551411,0.7149215946024579,0.1276994532493081,true,22,-1.0017994688346037,0.5,0.5,0.157228177,0.0
