L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
128,0.0,2.9,1.0,100.0,0.0,0.4051344037081456,0.592214176895367,true,11,-0.8107961691019232,0.5,0.5,0.080325565,0.0,0
128,0.0,3.0,1.0,100.0,0.0,0.40512122082882884,0.5914656663749129,true,11,-0.8107910650446359,0.5,0.5,0.071881144,0.0,0
128,0.0,3.1,1.0,100.0,0.0,0.40510580716303357,0.5905493509490434,true,11,-0.8107838498421917,0.5,0.5,0.07090376,0.0,0
128,0.0,3.2,1.0,100.0,0.0,0.40508766758196735,0.5894188435402459,true,11,-0.8107738907976141,0.5,0.5,0.080168251,0.0,0
128,0.0,3.3,1.0,100.0,0.0,0.4050661641211005,0.5880116410574843,true,11,-0.8107603452319446,0.5,0.5,0.072018956,0.0,0
128,0.0,3.4,1.0,100.0,0.0,0.4050404624954077,0.5862420906681542,true,11,-0.8107420763837918,0.5,0.5,0.071916046,0.0,0
128,0.0,3.5,1.0,100.0,0.0,0.4050094532034747,0.5839905940614454,true,11,-0.8107175276677757,0.5,0.5,0.079773318,0.0,0
128,0.0,3.6,1.0,100.0,0.0,0.40497163243241396,0.5810866611166698,true,11,-0.8106845301508563,0.5,0.5,0.073427075,0.0,0
128,0.0,3.7,1.0,100.0,0.0,0.40492491771466366,0.5772816654444624,true,11,-0.8106400000456447,0.5,0.5,0.073315366,0.0,0
128,0.0,3.8,1.0,100.0,0.0,0.4048663546386135,0.5722039141574653,true,11,-0.810579449757837,0.5,0.5,0.0713777,0.0,0
128,0.0,3.9,1.0,100.0,0.0,0.4047916358291942,0.5652825225308522,true,11,-0.8104961726353838,0.5,0.5,0.071967351,0.0,0
128,0.0,4.0,1.0,100.0,0.0,0.4046942848542031,0.5556147660272792,true,11,-0.8103798361131724,0.5,0.5,0.071918047,0.0,0
128,4.0,0.0,1.0,100.0,0.0,0.4052305930846236,0.5961535021183906,true,11,-0.8107675261002024,0.5,0.5,0.07171963,0.0,0
128,4.0,0.1,1.0,100.0,0.0,0.4052299198554523,0.5961430036613979,true,11,-0.8107688459863638,0.5,0.5,0.071732431,0.0,0
128,4.0,0.2,1.0,100.0,0.0,0.40522919752542697,0.596131170404357,true,11,-0.8107702036604596,0.5,0.5,0.070960965,0.0,0
128,4.0,0.3,1.0,100.0,0.0,0.40522842132091597,0.5961178217955831,true,11,-0.8107715997586077,0.5,0.5,0.071214286,0.0,0
