Im,IuS,Cm,CuS,Mm,MuS
0.4,0.4,0.4763932864920789,-0.14961173349734783,0.40763932864920793,0.34503882665026525
0.40763932864920793,0.34503882665026525,0.49917998515334,-0.02860949494203051,0.41679339429962114,0.30767399449103566
0.41679339429962114,0.30767399449103566,0.49630360404605656,0.06054562850628943,0.4247444152742647,0.28296115789256104
0.4247444152742647,0.28296115789256104,0.4871193343125134,0.11185885470865572,0.4309819071780896,0.2658509275741705
0.4309819071780896,0.2658509275741705,0.4788082170526989,0.14213958170600044,0.4357645381655505,0.2534797929873535
0.4357645381655505,0.2534797929873535,0.47227961089656567,0.16137300889183004,0.439416045438652,0.24426911457780118
0.439416045438652,0.24426911457780118,0.4672748171747617,0.17434817271139863,0.442201922612263,0.23727702039116091
0.442201922612263,0.23727702039116091,0.4634355417330178,0.18349395100138094,0.44432528452433845,0.2318987134521829
0.44432528452433845,0.2318987134521829,0.4604714064169344,0.19014836323788195,0.44593989671359807,0.2277236784307528
0.44593989671359807,0.2277236784307528,0.45816666963326946,0.1951040368854438,0.44716257400556525,0.2244617142762219
0.44716257400556525,0.2244617142762219,0.45636321006960456,0.19885912902301855,0.4480826376119692,0.2219014557509016
0.4480826376119692,0.2219014557509016,0.4549444434343731,0.2017419707350318,0.4487688181942096,0.2198855072493146
0.4487688181942096,0.2198855072493146,0.4538234348605348,0.20397739920291585,0.4492742798608421,0.21829469644467475
0.4492742798608421,0.21829469644467475,0.4529345790422932,0.2057242068108311,0.4496403097789873,0.2170376474812904
0.4496403097789873,0.2170376474812904,0.45222781913159815,0.20709737767676722,0.4498990607142484,0.21604362050083808
0.4498990607142484,0.21604362050083808,0.45166459459414965,0.2081818755519773,0.4500756141022385,0.215257446005952
0.4500756141022385,0.215257446005952,0.45121496008469264,0.2090415194220026,0.45018954870048394,0.21463585334755708
0.45018954870048394,0.21463585334755708,0.45085550439327027,0.20972488636431091,0.4502561442697626,0.21414475664923247
0.4502561442697626,0.21414475664923247,0.4505678239189226,0.2102693508342317,0.4502873122346786,0.2137572160677324
0.4502873122346786,0.2137572160677324,0.4503373868148498,0.21070391844726638,0.45029231969269573,0.21345188630568582
0.45029231969269573,0.21345188630568582,0.45015267696810524,0.21105125768054372,0.4502783554202367,0.2132118234431716
0.4502783554202367,0.2132118234431716,0.45000454163852877,0.21132918420683167,0.45025097404206593,0.2130235595195376
0.45025097404206593,0.2130235595195376,0.4498856895220714,0.21155176305642226,0.4502144455900665,0.21287637987322608
0.4502144455900665,0.21287637987322608,0.4497903014119277,0.211730138418308,0.45017203117225263,0.21276175572773426
0.45017203117225263,0.21276175572773426,0.4497137261457773,0.2118731657566502,NaN,NaN
