x,y1,y2,y3,y4
-2.99,0.0,2.0,4.0,6.0
-2.98,0.0,2.0,4.0,6.0
-2.97,0.0,2.0,4.0,6.0
-2.96,0.0,2.0,4.0,6.0
-2.95,0.0,2.0,4.0,6.0
-2.94,0.0,2.0,4.0,6.0
-2.93,0.0,2.0,4.0,6.0
-2.92,0.0,2.0,4.0,6.0
-2.91,0.0,2.0,4.0,6.0
-2.9,0.0,2.0,4.0,6.0
-2.89,0.0,2.0,4.0,6.0
-2.88,0.0,2.0,4.0,6.0
-2.87,0.0,2.0,4.0,6.0
-2.86,0.0,2.0,4.0,6.0
-2.85,0.0,2.0,4.0,6.0
-2.84,0.0,2.0,4.0,6.0
-2.83,0.0,2.0,4.0,6.0
-2.82,0.0,2.0,4.0,6.0
-2.81,0.0,2.0,4.0,6.0
-2.8,0.0,2.0,4.0,6.000000011078099
-2.79,0.0,2.0,4.0,6.074527629115666
-2.78,0.0,2.0,4.0,6.105651887607265
-2.77,0.0,2.0,4.0,6.1297001844679135
-2.76,0.0,2.0,4.0,6.150106796144528
-2.75,0.0,2.0,4.0,6.168197055322224
-2.74,0.0,2.0,4.0,6.184648001678945
-2.73,0.0,2.0,4.0,6.199860110408869
-2.72,0.0,2.0,4.0,6.214093098842358
-2.71,0.0,2.0,4.0,6.227526452777347
-2.7,0.0,2.0,4.0,6.240290134618557
-2.69,0.0,2.0,4.0,6.252481669190169
-2.68,0.0,2.0,4.0,6.264176333787627
-2.67,0.0,2.0,4.0,6.275433574889429
-2.66,0.0,2.0,4.0,6.286301229502128
-2.65,0.0,2.0,4.0,6.2968184041536475
-2.64,0.0,2.0,4.0,6.307017498645721
-2.63,0.0,2.0,4.0,6.316925665704345
-2.62,0.0,2.0,4.0,6.3265658873777815
-2.61,0.0,2.0,4.0,6.33595778429841
-2.6,0.0,2.0,4.0,6.3451182345313155
-2.59,0.0,2.0,4.0,6.3540618539938025
-2.58,0.0,2.0,4.0,6.362801374459033
-2.57,0.0,2.0,4.0,6.371347944591097
-2.56,0.0,2.0,4.0,6.379711372314297
-2.55,0.0,2.0,4.0,6.387900321892888
-2.54,0.0,2.0,4.0,6.395922475639601
-2.53,0.0,2.0,4.0,6.4037846677049695
-2.52,0.0,2.0,4.0,6.41149299561428
