L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,0.6,1.0,15.0,0.0,0.4041322387682468,0.979851310016544,true,62,-0.8172103641676773,0.1,0.1,1.363063905,0.0,0
256,0.0,0.6,1.0,20.0,0.0,0.4045975653937099,0.9829111501191701,true,62,-0.8145001919290613,0.1,0.1,1.342488976,0.0,1
256,0.0,0.6,1.0,100.0,0.0,0.4052470204735569,0.9872398935839577,true,62,-0.8107716347740354,0.1,0.1,1.34953968,0.0,1
256,0.0,0.8,1.0,0.1,0.0,0.04866782656224025,0.9221958158590615,true,45,-13.865180225940891,0.1,0.1,0.995143097,0.0,0
256,0.0,0.8,1.0,1.0,0.0,0.298634141664019,0.9873607333494849,true,55,-1.5588060691804286,0.1,0.1,1.185164012,0.0,1
256,0.0,0.8,1.0,2.0,0.0,0.3654119764702729,0.8981991320009541,true,60,-1.0513984743168934,0.1,0.1,1.304424599,0.0,1
256,0.0,0.8,1.0,4.0,0.0,0.39261334439544127,0.9936560097665303,true,61,-0.8829346106930516,0.1,0.1,1.343707152,0.0,0
256,0.0,0.8,1.0,6.0,0.0,0.3989722205368443,0.9391380038815678,true,62,-0.8458755073980181,0.1,0.1,1.370882948,0.0,0
256,0.0,0.8,1.0,8.0,0.0,0.4014640153384589,0.9578174068511913,true,62,-0.8316842977127328,0.1,0.1,1.365125608,0.0,0
256,0.0,0.8,1.0,10.0,0.0,0.4027059242121306,0.9672993193693413,true,62,-0.8247061051851573,0.1,0.1,1.345137003,0.0,1
256,0.0,0.8,1.0,15.0,0.0,0.4040310624632831,0.9775650858937501,true,62,-0.8173556440908295,0.1,0.1,1.373098982,0.0,0
256,0.0,0.8,1.0,20.0,0.0,0.4045367240425492,0.9815315498785671,true,62,-0.814587513286672,0.1,0.1,1.349888156,0.0,1
256,0.0,0.8,1.0,100.0,0.0,0.40524393619119414,0.9871678971844489,true,62,-0.810776058251678,0.1,0.1,1.360625869,0.0,1
256,0.0,1.0,1.0,0.1,0.0,0.048433280165933346,0.9087390738790196,true,45,-13.865624634379662,0.1,0.1,1.002380612,0.0,0
256,0.0,1.0,1.0,1.0,0.0,0.2942503387710679,0.9820209611611785,true,54,-1.5652526485665041,0.1,0.1,1.148976754,0.0,1
256,0.0,1.0,1.0,2.0,0.0,0.36259688608091123,0.9317549342794385,true,59,-1.05519276121789,0.1,0.1,1.275630681,0.0,1
256,0.0,1.0,1.0,4.0,0.0,0.3915494964373302,0.967530178817344,true,61,-0.884313569644829,0.1,0.1,1.354263327,0.0,0
256,0.0,1.0,1.0,6.0,0.0,0.3984187432262429,0.9261655222498888,true,62,-0.8465862007203262,0.1,0.1,1.378295319,0.0,0
256,0.0,1.0,1.0,8.0,0.0,0.40112206451337395,0.9496606445666966,true,62,-0.8321217970774398,0.1,0.1,1.358010993,0.0,0
256,0.0,1.0,1.0,10.0,0.0,0.4024722815160461,0.9616742635627507,true,62,-0.825004493053455,0.1,0.1,1.351761772,0.0,1
256,0.0,1.0,1.0,15.0,0.0,0.40391555748674596,0.9747541828867279,true,62,-0.8175028718063976,0.1,0.1,1.373369939,0.0,0
256,0.0,1.0,1.0,20.0,0.0,0.40446718240125246,0.9798312285079769,true,62,-0.8146760885049567,0.1,0.1,1.349430309,0.0,1
256,0.0,1.0,1.0,100.0,0.0,0.4052403579640362,0.9870774380781322,true,62,-0.8107806109105054,0.1,0.1,1.355917365,0.0,1
256,0.0,1.2,1.0,0.1,0.0,0.04819951410544136,0.9981277718306286,true,44,-13.866060311029678,0.1,0.1,0.9693982,0.0,0
256,0.0,1.2,1.0,1.0,0.0,0.28979029195324335,0.9717557353595696,true,53,-1.5713264987244757,0.1,0.1,1.140796582,0.0,1
256,0.0,1.2,1.0,2.0,0.0,0.3595378792701114,0.9574026697801719,true,58,-1.0588913544015481,0.1,0.1,1.247689639,0.0,1
256,0.0,1.2,1.0,4.0,0.0,0.39034933486835866,0.936604613845371,true,61,-0.8856840115573488,0.1,0.1,1.343791059,0.0,0
256,0.0,1.2,1.0,6.0,0.0,0.39778865213985587,0.9104566925722812,true,62,-0.8472956597567749,0.1,0.1,1.380032431,0.0,0
256,0.0,1.2,1.0,8.0,0.0,0.4007312033268735,0.9396866146716976,true,62,-0.8325594957067922,0.1,0.1,1.369905834,0.0,0
256,0.0,1.2,1.0,10.0,0.0,0.4022046147216157,0.9547598191969042,true,62,-0.8253034142676845,0.1,0.1,1.346823274,0.0,1
256,0.0,1.2,1.0,15.0,0.0,0.4037828545921971,0.9712773394483509,true,62,-0.8176506346780734,0.1,0.1,1.37104911,0.0,0
256,0.0,1.2,1.0,20.0,0.0,0.40438717601643576,0.9777221747143683,true,62,-0.8147650741153545,0.1,0.1,1.355061315,0.0,1
256,0.0,1.2,1.0,100.0,0.0,0.40523618182774535,0.9869632475870693,true,62,-0.8107852482373391,0.1,0.1,1.358445344,0.0,1
256,0.0,1.4,1.0,0.1,0.0,0.047969208985710776,0.9838921988959692,true,44,-13.866487719191637,0.1,0.1,0.971933373,0.0,0
256,0.0,1.4,1.0,1.0,0.0,0.2852681332059819,0.9570577582310724,true,52,-1.5770098999784747,0.1,0.1,1.125142606,0.0,1
256,0.0,1.4,1.0,2.0,0.0,0.3562210569975143,0.973355987179847,true,57,-1.062451135859963,0.1,0.1,1.233817231,0.0,1
256,0.0,1.4,1.0,4.0,0.0,0.3889906045231398,0.9000698614840541,true,61,-0.8870275188916342,0.1,0.1,1.340689956,0.0,0
