Im,IuS,Cm,CuS,Mm,MuS
0.4,0.3,0.49336158700983856,0.08086996349291659,0.4093361587009839,0.2780869963492917
0.4093361587009839,0.2780869963492917,0.4837071797603619,0.12532247222431536,0.41677326080692173,0.26281054393679404
0.41677326080692173,0.26281054393679404,0.47577298480944963,0.1514585589140438,0.42267323320717454,0.251675345434519
0.42267323320717454,0.251675345434519,0.469740414231265,0.16811924144065815,0.4273799513095836,0.24331973503513296
0.4273799513095836,0.24331973503513296,0.46518889639858874,0.1793955499261961,0.4311608458184842,0.2369273165242393
0.4311608458184842,0.2369273165242393,0.4617320283620916,0.18735858901511832,0.43421796407284496,0.2319704437733272
0.43421796407284496,0.2319704437733272,0.4590828569125692,0.19315576255616257,0.4367044533568174,0.22808897565161074
0.4367044533568174,0.22808897565161074,0.4570355647655526,0.19747130030578214,0.43873756449769097,0.22502720811702787
0.43873756449769097,0.22502720811702787,0.4554420805796434,0.20073774384991872,0.4404080161058862,0.22259826169031693
0.4404080161058862,0.22259826169031693,0.45419451165431823,0.20324147778356438,0.44178666566072944,0.2206625832996417
0.44178666566072944,0.2206625832996417,0.4532131006623972,0.20517924858585962,0.44292930916089623,0.2191142498282635
0.44292930916089623,0.2191142498282635,0.4524380868048762,0.2066902871236633,0.44388018692529424,0.2178718535578035
0.44388018692529424,0.2178718535578035,0.4518241587752312,0.20787550486253362,0.444674584110288,0.21687221868827652
0.444674584110288,0.21687221868827652,0.45133661338981845,0.2088094666958023,0.44534078703824104,0.2160659434890291
0.44534078703824104,0.2160659434890291,0.4509486473816806,0.2095481382857911,0.44590157307258504,0.2154141629687053
0.44590157307258504,0.2154141629687053,0.45063941423205456,0.2101340613474476,0.446375357188532,0.21488615280657952
0.446375357188532,0.21488615280657952,0.4503926070163111,0.21059990766735204,0.4467770821713099,0.21445752829265677
0.4467770821713099,0.21445752829265677,0.45019540963623134,0.21097097904220752,0.4471189149178021,0.21410887336761186
0.4471189149178021,0.21410887336761186,0.45003771062516484,0.2112670027078109,0.4474107944885384,0.21382468630163176
0.4474107944885384,0.21382468630163176,0.44991150718261075,0.2115034441242898,0.44766086575794567,0.2135925620838976
0.44766086575794567,0.2135925620838976,0.449810449079856,0.21169248173186933,0.4478758240901367,0.2134025540486948
0.4478758240901367,0.2134025540486948,0.449729486774431,0.21184374025976999,0.4480611903585662,0.21324667266980232
0.4480611903585662,0.21324667266980232,0.44966459806895587,0.21196484854693734,0.44822153112960517,0.21311849025751584
0.44822153112960517,0.21311849025751584,0.4496125745695584,0.21206186784927739,0.4483606354736005,0.213012828016692
0.4483606354736005,0.213012828016692,0.4495708540681923,0.2121396232818779,0.4484816573330597,0.21292550754321057
0.4484816573330597,0.21292550754321057,0.4495373884537772,0.2122019619764032,0.4485872304451315,0.21285315298652985
0.4485872304451315,0.21285315298652985,0.44951053928189133,0.21225195524490958,NaN,NaN
