L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,2.0,1.0,100.0,0.35,0.23469620712672695,-1.5708023140326155e-5,0.0,0.0,0.817296654972044,0.3616977335274223,0.6044629098073154,0.6044629098073154,true,27,-2.344602266741542,0.2,0.2,147.309011034,1.783404366403605,0
256,0.0,2.0,1.0,100.0,0.4,0.17018658837696415,-1.4393561169667723e-5,0.0,0.0,0.6651062921293471,0.7816602139267409,0.9444732965739303,0.9444732965739303,true,25,-2.7445081494132904,0.2,0.2,98.27393549,2.3573492601622124,0
256,0.0,2.0,1.0,100.0,0.45,0.09234107764192895,-3.854039370143614e-6,0.0,0.0,0.07176453839535801,0.904353821375598,0.9444732965739303,0.9444732965739303,true,25,-3.2806222955429387,0.2,0.2,92.817128911,3.0823677258093065,0
256,0.0,2.4,1.0,100.0,0.0,0.4051874689160721,1.3877787807814457e-17,0.0,0.0,0.952257031909598,3.002599125058939e-14,0.3094850098213456,0.3094850098213456,true,30,-1.2271576677561458,0.2,0.2,2.794103489,0.0,0
256,0.0,2.4,1.0,100.0,0.05,0.40317110170623616,-5.4387050418824856e-14,0.0,0.0,0.9475876096423086,1.548537122079098e-10,0.3094850098213456,0.3094850098213456,true,30,-1.2741921141775565,0.2,0.2,93.394230769,0.09332544009106276,0
256,0.0,2.4,1.0,100.0,0.1,0.39571482421368387,-9.34457330958871e-10,0.0,0.0,0.9244939163639554,3.10051720626912e-6,0.3094850098213456,0.3094850098213456,true,30,-1.341945936202336,0.2,0.2,158.251819982,0.22445427209240879,0
256,0.0,2.4,1.0,100.0,0.15,0.3814734750713087,-6.869366467321392e-8,0.0,0.0,0.879066764077896,0.0002725934216367764,0.3094850098213456,0.3094850098213456,true,30,-1.4313071540521158,0.2,0.2,198.463119963,0.39149917575290744,0
256,0.0,2.4,1.0,100.0,0.2,0.3593184392917635,-7.84185987368069e-7,0.0,0.0,0.809319006409015,0.003918473903076656,0.3094850098213456,0.3094850098213456,true,30,-1.549725903227122,0.2,0.2,158.152161785,0.6030779034706567,0
256,0.0,2.4,1.0,100.0,0.25,0.3281785086183278,-4.574633678283702e-6,0.0,0.0,0.8895350310340611,0.031204569764330267,0.38685626227668196,0.38685626227668196,true,29,-1.709533857460584,0.2,0.2,257.057835106,0.8735565906117594,0
256,0.0,2.4,1.0,100.0,0.3,0.28699397302263685,-1.1960777503594588e-5,0.0,0.0,0.9104078298931562,0.124237037210872,0.4835703278458524,0.4835703278458524,true,28,-1.9282256195995287,0.2,0.2,241.154588641,1.222267735721496,0
