L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.8104611861692472,-2.7755575615628914e-17,0.0,0.0,0.0,0.6938097521183018,0.09765625000000003,0.09765625,0.09765625,0.09765625,12,-1.6212287122694495,0.5,0.5,0.882567496,0.0
128,0.0,0.1,1.0,100.0,0.0,0.8104583874293321,-1.8554134223469632e-7,6.627274195575741e-7,0.0002524591313435,-6.776263578034403e-21,0.3472377845938901,0.0017965777576386276,0.061441197628891976,0.992712844567082,0.04882812500000003,13,-1.6212285917544462,0.5,0.5,0.229162401,0.0
128,0.0,0.2,1.0,100.0,0.0,0.8104550698501816,1.2092549184217205e-12,1.417081593738883e-9,0.000999984191148977,0.0,0.0004244366111905151,2.3173635738088912e-8,6.143760345153982e-5,0.8885903699857814,2.3841857909985956e-5,24,-1.6212281238051003,0.5,0.5,0.420047951,0.0
128,0.0,0.3,1.0,100.0,0.0,0.810359414520283,-1.973032848212597e-12,3.1131467011485253e-10,0.028791809573036342,8.673617379884035e-19,0.007052048502487196,6.193809427207711e-8,8.3814385745129e-6,0.9673029872927091,1.4901161177941311e-6,28,-1.621211101580641,0.5,0.5,0.447514891,0.0
128,0.0,0.4,1.0,100.0,0.0,0.809692306887199,-1.348272926915417e-7,6.975530322519562e-6,0.06718201023202516,3.469446951953614e-18,0.3762053815596911,0.0026460907922113562,0.13096045259266983,0.9514334003350999,0.04882812499999985,13,-1.6212666878601145,0.5,0.5,0.215051423,0.0
128,0.0,0.5,1.0,100.0,0.0,0.808438886341319,-6.908788283133127e-7,2.1939793027921442e-5,0.09551774381574835,1.734723475976807e-18,0.6370836469882235,0.009395896021382159,0.30532052177819824,0.9646516071789291,0.09765624999999395,12,-1.6214765073214183,0.5,0.5,0.1852337,0.0
128,0.0,0.6,1.0,100.0,0.0,0.8062621928680496,-1.7505677907259098e-7,4.114764269044259e-6,0.12370217106619485,3.469446951953614e-18,0.03874453496632846,0.0018534006419043576,0.044087458213660634,0.8546530364171023,0.006103515624993699,16,-1.6217287650189316,0.5,0.5,0.267421327,0.0
128,0.0,0.7,1.0,100.0,0.0,0.8030878104259429,-2.4091025146999456e-7,4.521654724467302e-6,0.1500854770912778,0.0,0.09548686435545406,0.002022105501235015,0.038241396271490584,0.8162468577515569,0.003051757812488043,17,-1.621959862339961,0.5,0.5,0.283733844,0.0
128,0.0,0.8,1.0,100.0,0.0,0.798847250216184,-5.425086409549529e-7,8.546134150469713e-6,0.1744906141386617,1.0408340855860843e-17,0.1500443335467061,0.003661799678596851,0.05801090776228355,0.8543769668534207,0.0030517578124809887,17,-1.6220644506703195,0.5,0.5,0.265629269,0.0
128,0.0,0.9,1.0,100.0,0.0,0.7934946042793309,-1.1783110016316822e-6,1.614209941613572e-5,0.19695115148230763,0.0,0.19595844201747425,0.006465743700244882,0.08892981277096916,0.8079729839133298,0.003051757812512192,17,-1.6219098596366712,0.5,0.5,0.281527867,0.0
128,0.0,1.0,1.0,100.0,0.0,0.7870232278592915,-2.497314637528447e-6,3.054435320481476e-5,0.2175050115675045,2.0816681711721685e-17,0.2280999681478768,0.011214331927725788,0.13753320788190274,0.7155184708270701,0.0030517578124982787,17,-1.6213630717460896,0.5,0.5,0.269609813,0.0
