L,U,V,t,β,δ,uS,wS,wd,ws,QuS,QwS,Qwd,Qws,I,f,g,g0,ΔT,μ
128,0.0,0.0,1.0,100.0,0.0,0.8104611861692472,0.0,0.0,0.0,0.6938097521183018,0.09765625,0.09765625,0.09765625,12,-1.6212287122694495,0.5,0.5,1.549259927,0.0
128,0.0,0.1,1.0,100.0,0.0,0.810458387358017,6.614918203840811e-7,0.00025393990145849944,2.0328790734103208e-20,0.3472157898636308,0.06132719084768285,0.998535612839028,0.04882812499999996,13,-1.621228591698958,0.5,0.5,0.218383252,0.0
128,0.0,0.2,1.0,100.0,0.0,0.810455068062802,1.4092320820107134e-9,0.0010091707562456345,5.421010862427522e-20,0.00042911324693584163,6.109725677389558e-5,0.8967591978011986,2.3841857909960277e-5,24,-1.6212281223799416,0.5,0.5,0.359366292,0.0
128,0.0,0.3,1.0,100.0,0.0,0.8103592311666503,3.088679986957849e-10,0.028817510512637506,1.734723475976807e-18,0.007131677162153238,8.312729368559062e-6,0.9767958910675972,1.4901161147393428e-6,28,-1.6212110506596493,0.5,0.5,0.394561648,0.0
128,0.0,0.4,1.0,100.0,0.0,0.8096950255289095,3.7931807258319056e-6,0.06709328045339821,3.469446951953614e-18,0.19899440324944173,0.07105878579399336,0.8337184356533023,0.024414062499992024,14,-1.6212675875288676,0.5,0.5,0.209031091,0.0
128,0.0,0.5,1.0,100.0,0.0,0.8084341781118587,2.1797547766564036e-5,0.09559743618971753,-3.469446951953614e-18,0.6435903961004019,0.30197147073866637,0.8330717617981986,0.09765625000001073,12,-1.621474624171015,0.5,0.5,0.173125077,0.0
128,0.0,0.6,1.0,100.0,0.0,0.806259829657302,4.1186692671015945e-6,0.12372645188099533,-3.469446951953614e-18,0.03426073161327814,0.04378877781154259,0.8062230943157722,0.006103515625017825,16,-1.6217276278367418,0.5,0.5,0.224559724,0.0
128,0.0,0.7,1.0,100.0,0.0,0.8030856761444123,4.56920278441692e-6,0.1501001366569616,0.0,0.09064898362742824,0.038202160337390344,0.7815765505057581,0.003051757812499055,17,-1.6219586662504395,0.5,0.5,0.247466327,0.0
128,0.0,0.8,1.0,100.0,0.0,0.7988449109900022,8.729226081537027e-6,0.17450205060303886,-3.469446951953614e-18,0.14382848530192227,0.05833604199140305,0.8225231449187076,0.0030517578124996877,17,-1.6220629588690811,0.5,0.5,0.252884405,0.0
128,0.0,0.9,1.0,100.0,0.0,0.7934922232781189,1.6693244066400686e-5,0.19695980744582098,-6.938893903907228e-18,0.18853963559273268,0.0901427365841655,0.7795630236438478,0.003051757812507757,17,-1.6219081615213806,0.5,0.5,0.239941606,0.0
128,0.0,1.0,1.0,100.0,0.0,0.7870209542259494,3.201593725154963e-5,0.21751136198915033,-6.938893903907228e-18,0.2197577613407553,0.14064342708301925,0.6908195651197935,0.0030517578125298676,17,-1.6213612837999751,0.5,0.5,0.25217272,0.0
128,0.0,1.1,1.0,100.0,0.0,0.7794784712559389,9.076822114523816e-5,0.23617669206826158,1.3877787807814457e-17,0.34706586989252663,0.32539870832078543,0.8934751115790007,0.006103515624976388,16,-1.6203213952532096,0.5,0.5,0.232245601,0.0
128,0.0,1.2,1.0,100.0,0.0,0.770836972130075,0.00016936336450282165,0.253217359821747,0.0,0.3579721509885392,0.4957909521926644,0.7459109945249232,0.006103515625001459,16,-1.6186231030441536,0.5,0.5,0.226956425,0.0
128,0.0,1.3,1.0,100.0,0.0,0.7611838594263592,0.0003166524022285965,0.2686566829621283,1.3877787807814457e-17,0.3471114432072042,0.7549983649135483,0.6030562398116057,0.0061035156249709364,16,-1.616203055411984,0.5,0.5,0.227264689,0.0
128,0.0,1.4,1.0,100.0,0.0,0.7505738951151116,0.00044688409287402774,0.2826284678986701,1.3877787807814457e-17,0.19501993758086478,0.8631249707083664,0.2825920224055478,0.003051757812461493,17,-1.6129841425866265,0.5,0.5,0.250451854,0.0
128,0.0,1.5,1.0,100.0,0.0,0.7391252269820401,0.0005289203773749095,0.2952016515470962,-2.7755575615628914e-17,0.05577638228859705,0.8195724808892114,0.07102014788840094,0.0007629394531511759,19,-1.6089724917488673,0.5,0.5,0.271192747,0.0
128,0.0,1.6,1.0,100.0,0.0,0.726939770393397,0.0007196128866471703,0.3064889054295306,-1.3877787807814457e-17,0.011705775254666761,0.8812567333396967,0.018018575437594997,0.00019073486328336365,21,-1.604183003318291,0.5,0.5,0.300897831,0.0
128,0.0,1.7,1.0,100.0,0.0,0.7141152343690531,0.0009405214812987055,0.3166080542510479,-1.3877787807814457e-17,0.0011227247656009354,0.8903148098799215,0.005359561803808255,2.3841857915764835e-5,24,-1.5986476379522179,0.5,0.5,0.346668846,0.0
