IuS,CuS,MuS
0.1,0.35931851969569784,0.11296592598478489
0.11296592598478489,0.35931273881139647,0.12528326662611544
0.12528326662611544,0.35930538168746395,0.13698437237918287
0.13698437237918287,0.3592958984414649,0.14809994868229698
0.14809994868229698,0.359283510788892,0.15865912678762673
0.15865912678762673,0.3592670929126005,0.16868952509387541
0.16868952509387541,0.35924496914334103,0.17821729729634866
0.17821729729634866,0.3592145543118156,0.18726716014712202
0.18726716014712202,0.35917168194152294,0.19586238623684207
0.19586238623684207,0.35910927615800836,0.20402473073290037
0.20402473073290037,0.35901453863412935,0.2117742211279618
0.2117742211279618,0.35886243647507077,0.21912863189531723
0.21912863189531723,0.3585987180234702,0.22610213620172487
0.22610213620172487,0.3580876118372113,0.23270140998349917
0.23270140998349917,0.3569071544241449,0.23891169720553143
0.23891169720553143,0.35322292208619055,0.24462725844956437
0.24462725844956437,0.33364225116909424,0.24907800808554087
0.24907800808554087,0.14186485371802307,0.24371735036716496
0.24371735036716496,0.3401890747120785,0.24854093658441062
0.24854093658441062,0.20160597333935504,0.24619418842215782
0.24619418842215782,0.3124292427571776,0.24950594113890878
0.24950594113890878,0.08079529557246144,0.24107040886058642
0.24107040886058642,0.3497948481229394,0.24650663082370408
0.24650663082370408,0.3054916526268659,0.24945588191386217
0.24945588191386217,0.08848975946172426,0.24140757579125524
0.24140757579125524,0.3490191950912893,0.24678815675625693
0.24678815675625693,0.2980025510099853,0.24934887646894335
0.24934887646894335,0.10448545791602934,0.24210570554129765
0.24210570554129765,0.34709940838651165,0.24735539068355833
0.24735539068355833,0.2781360927141828,0.24889442578508955
0.24889442578508955,0.16444435018995895,0.244671922005333
0.244671922005333,0.33324453582860997,0.24910055269649684
0.24910055269649684,0.13893543493543642,0.24359229680844383
0.24359229680844383,0.3409000081620211,0.24845768237612267
0.24845768237612267,0.209210205284358,0.24649530852153442
0.24649530852153442,0.305766492730142,0.24945886773196477
0.24945886773196477,0.08803443314260155,0.2413876460024966
0.2413876460024966,0.34906750803020026,0.24677163910388178
0.24677163910388178,0.29847919676721424,0.24935701698704837
0.24935701698704837,0.1032913972035304,0.24205373599787247
0.24205373599787247,0.34725912384044755,0.24731400539000123
0.24731400539000123,0.27984886472402126,0.2489407483567022
0.2489407483567022,0.15896192374823587,0.2444418071262789
0.2444418071262789,0.33520625130360954,0.24898002933514543
0.24898002933514543,0.15419913969231105,0.2442409848530037
0.2442409848530037,0.3367539440654084,0.2488666328136239
0.2488666328136239,0.16766420624369843,0.2448065114851276
0.2448065114851276,0.33199289807904797,0.24916583081482363
0.24916583081482363,0.13026288345772852,0.24322068344696887
0.24322068344696887,0.3428059254213675,0.2481999455456888
0.2481999455456888,0.2302436379556318,0.24730213016618594
0.24730213016618594,0.28033166296283557,0.2489536068060184
0.2489536068060184,0.15741434790379222,0.24437664386090707
0.24437664386090707,0.33572426934479915,0.24894402513510167
0.24894402513510167,0.15856861038336348,0.24442525439751475
0.24442525439751475,0.335339330182885,0.24897095818678325
0.24897095818678325,0.15530828400853508,0.24428782447787084
0.24428782447787084,0.336405647292948,0.24889371561862467
0.24889371561862467,0.16452727234824444,0.24467539345510564
0.24467539345510564,0.33321326518467953,0.24910228704158432
0.24910228704158432,0.13870867039458337,0.24358260620923428
0.24358260620923428,0.3409535422063051,0.24845115300908782
0.24845115300908782,0.2097891328990918,0.246518052003588
0.246518052003588,0.3052124830019535,0.24945277355350629
0.24945277355350629,0.08896327449661734,0.24142829860066184
0.24142829860066184,0.34896861441773463,0.24680531439151546
0.24680531439151546,0.2975021484031708,0.24934015609209823
0.24934015609209823,0.10576025191105196,0.2421611608830459
0.2421611608830459,0.34692564918145025,0.24739938529796612
0.24739938529796612,0.27626256589556564,0.2488425443278461
0.2488425443278461,0.1704128487547184,0.24492105954918972
0.24492105954918972,0.33086085297554296,0.24921804922050736
0.24921804922050736,0.12312454015198683,0.24291337376708133
0.24291337376708133,0.3441787251539534,0.24797664133642494
0.24797664133642494,0.2457107363288597,0.24786334608604665
0.24786334608604665,0.25269581716798495,0.24810496964014356
0.24810496964014356,0.23711264351756575,0.24755535333401466
0.24755535333401466,0.26915501466910585,0.2486353364007692
0.2486353364007692,0.19247065112062522,0.245827102136762
0.245827102136762,0.31911423914448844,0.24949145898714833
0.24949145898714833,0.08303436849471448,0.24116860446252664
0.24116860446252664,0.34957781621727313,0.24658906505026396
0.24658906505026396,0.30343220534887416,0.24943122206519447
0.24943122206519447,0.09223219687901899,0.2415712708058857
0.2415712708058857,0.3486097934031499,0.2469231969357489
0.2469231969357489,0.29391272334969265,0.24927267325644606
0.24927267325644606,0.11547077844525086,0.24258257851588627
0.24258257851588627,0.34548310937162197,0.24772760505867306
0.24772760505867306,0.26037897560248957,0.24836017358586385
0.24836017358586385,0.217599486697499,0.24682213924144558
0.24682213924144558,0.29700615136728425,0.2493313398477375
0.2493313398477375,0.10704448444674075,0.24221699707768765
0.24221699707768765,0.3467471338699607,0.2474435039173013
0.2474435039173013,0.2743273473545697,0.2487876960891647
0.2487876960891647,0.17652648841022367,0.24517463570521764
0.24517463570521764,0.32811219800083397,0.24932151381999845
0.24932151381999845,0.10847034750742518,0.24227895550436976
0.24227895550436976,0.3465447471886285,0.2474922450885827
0.2474922450885827,0.27212139859254153,0.2487237027637806
